id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
75,01M292,Orchard Collegiate Academy,2019,Common Core Algebra 2,12,72.75,83.333336
76,01M292,Orchard Collegiate Academy,2019,Common Core English,41,77.268295,87.80488
77,01M292,Orchard Collegiate Academy,2019,Common Core Geometry,22,62.409092,27.272728
78,01M292,Orchard Collegiate Academy,2019,Global History and Geography,77,69.22078,66.233765
79,01M292,Orchard Collegiate Academy,2019,Living Environment,93,63.89247,50.537636
80,01M292,Orchard Collegiate Academy,2019,Chemistry,12,58.25,25.0
81,01M292,Orchard Collegiate Academy,2019,Earth Science,62,47.725807,19.35484
82,01M292,Orchard Collegiate Academy,2019,Spanish,9,89.44444,100.0
83,01M292,Orchard Collegiate Academy,2019,US History and Government,33,70.57576,69.69697
84,01M292,Orchard Collegiate Academy,2020,Common Core Algebra,38,63.394737,57.894737
85,01M292,Orchard Collegiate Academy,2020,Common Core English,61,74.196724,81.96722
86,01M292,Orchard Collegiate Academy,2020,Common Core Geometry,8,58.25,37.5
87,01M292,Orchard Collegiate Academy,2020,Global History and Geography,16,55.75,31.25
88,01M292,Orchard Collegiate Academy,2020,Living Environment,15,52.333332,13.333333
89,01M292,Orchard Collegiate Academy,2022,Common Core Algebra,55,63.036366,49.090908
90,01M292,Orchard Collegiate Academy,2022,Common Core Algebra 2,12,53.5,33.333332
91,01M292,Orchard Collegiate Academy,2022,Common Core English,21,86.04762,100.0
92,01M292,Orchard Collegiate Academy,2022,Common Core Geometry,70,58.985714,34.285713
93,01M292,Orchard Collegiate Academy,2022,Global History and Geography,82,69.32927,68.29269
94,01M292,Orchard Collegiate Academy,2022,Living Environment,37,72.45946,72.97298
95,01M292,Orchard Collegiate Academy,2022,Chemistry,18,53.72222,16.666666
96,01M292,Orchard Collegiate Academy,2022,Earth Science,58,60.75862,41.37931
97,01M292,Orchard Collegiate Academy,2023,Common Core Algebra,52,61.53846,44.23077
98,01M292,Orchard Collegiate Academy,2023,Common Core Algebra 2,23,71.608696,73.91304
99,01M292,Orchard Collegiate Academy,2023,Common Core English,68,74.79412,77.94118
100,01M292,Orchard Collegiate Academy,2023,Common Core Geometry,45,62.511112,55.555557
101,01M292,Orchard Collegiate Academy,2023,Global History and Geography,57,75.24561,82.45614
102,01M292,Orchard Collegiate Academy,2023,Living Environment,51,66.86275,62.7451
103,01M292,Orchard Collegiate Academy,2023,Chemistry,20,66.15,55.0
104,01M292,Orchard Collegiate Academy,2023,Earth Science,44,70.068184,65.90909
105,01M292,Orchard Collegiate Academy,2023,Spanish,31,86.258064,96.77419
106,01M292,Orchard Collegiate Academy,2023,US History and Government,46,69.17391,63.04348
107,01M332,University Neighborhood Middle School,2022,Common Core Algebra,54,56.037037,25.925926
108,01M332,University Neighborhood Middle School,2022,Living Environment,44,66.34091,52.272728
109,01M332,University Neighborhood Middle School,2023,Common Core Algebra,40,58.775,40.0
110,01M332,University Neighborhood Middle School,2023,Living Environment,45,51.066666,22.222221
111,01M378,School for Global Leaders,2015,Common Core Algebra,6,80.666664,100.0
112,01M378,School for Global Leaders,2016,Common Core Algebra,7,78.0,100.0
113,01M378,School for Global Leaders,2017,Common Core Algebra,22,72.90909,86.36364
114,01M378,School for Global Leaders,2018,Common Core Algebra,12,77.166664,91.666664
115,01M378,School for Global Leaders,2019,Common Core Algebra,24,68.458336,70.833336
116,01M378,School for Global Leaders,2022,Common Core Algebra,6,80.833336,100.0
