year,regents_exam,total_tested,mean_score,percent_65_or_above
2023,Common Core Algebra 2,41691,55.84942879746835,33.46842207974684
2023,Common Core English,92629,69.67379963013698,68.85735357928081
2023,Common Core Geometry,52698,55.820183338028166,30.372185386384977
2023,Earth Science,35537,61.347411419947505,45.229063202362205
2023,French,1580,79.65723171111111,82.8935890888889
2023,Global History and Geography,73089,67.35255387254901,62.208659784313724
2023,Italian,904,77.07865766666667,81.715592
2023,Living Environment,84659,66.34071742431762,57.51271539863523
2023,Physics,13471,54.76603110526316,34.80021064539474
2023,Spanish,20617,82.48518567449663,88.46308421476512
2023,US History and Government,62402,67.1778041373913,62.89226493565218
