schools,id
05M499: Frederick Douglass Academy,166
05M514: New Design Middle School,167
05M517: Teachers College Community School,168
05M670: Thurgood Marshall Academy for Learning and Social Change,169
"05M692: The High School for Mathematics, Science and Engineering at City College of New York",170
06M018: P.S. 018 Park Terrace,171
06M052: Harold O. Levy School,172
06M143: J.H.S. 143 Eleanor Roosevelt,173
06M187: P.S. | I.S. 187 Hudson Cliffs,174
06M209: Hamilton Grange Middle School,175
06M210: P.S. | I.S. 210 The Twenty-First Century Academy for Community Leadership,176
06M211: Inwood Early College for Health and Information Technologies,177
06M223: The Mott Hall School,178
06M278: Paula Hedbavny School,179
06M293: City College Academy of the Arts,180
06M311: Amistad Dual Language School,181
06M319: M.S. 319 - Maria Teresa,182
06M322: M.S. 322,183
06M324: M.S. 324 - Patria Mirabal,184
06M346: Community Health Academy of the Heights,185
06M348: Washington Heights Expeditionary Learning School,186
06M366: Washington Heights Academy,187
06M423: High School for Excellence and Innovation,188
06M457: George Washington YABC,189
06M462: The College Academy,190
06M463: High School for Media and Communications,191
06M467: High School for Law and Public Service,192
06M468: High School for Health Careers and Sciences,193
06M528: I.S. 528 Bea Fuller Rodgers School,194
06M540: A. Philip Randolph Campus High School,195
06M552: Gregorio Luperon High School for Science and Mathematics,196
07X029: P.S. | M.S. 029 Melrose School,197
07X031: P.S. | M.S. 031 The William Lloyd Garrison,198
07X162: J.H.S. 162 Lola Rodriguez De Tio,199
07X221: South Bronx Preparatory: A College Board School,200
07X223: M.S. | H.S. 223 The Laboratory School of Finance and Technology,201
"07X259: H.E.R.O. High (Health, Education, and Research Occupations High School)",202
07X296: South Bronx Academy for Applied Media,203
07X298: Academy of Public Relations,204
07X334: International Community High School,205
07X343: Academy of Applied Mathematics and Technology,206
07X379: Jill Chaifetz Transfer High School,207
07X381: Bronx Haven High School,208
07X427: Community School for Social Justice,209
07X456: Alfred E. Smith Campus YABC,210
07X473: Mott Haven Village Preparatory High School,211
07X495: University Heights Secondary School,212
07X500: Hostos-Lincoln Academy of Science,213
07X522: Bronx Design and Construction Academy,214
07X527: Bronx Leadership Academy II High School,215
07X547: New Explorers High School,216
07X548: Careers in Sports High School,217
07X551: The Urban Assembly Bronx Academy of Letters,218
07X557: Mott Haven Community High School,219
07X584: I.S. 584,220
07X600: Alfred E. Smith Career and Technical Education High School,221
