year,category,regents_exam,median_mean_score,median_percent_65_or_above,id
2022,SWD,Italian,57.9,40.0,104
2022,SWD,Living Environment,56.748856,30.76923,105
2022,SWD,Physics,37.5625,9.761905,106
2022,SWD,Spanish,70.235634,66.666664,107
2023,Non-SWD,Chemistry,57.48077,29.76965,108
2023,Non-SWD,Chinese,89.89144,97.62587,109
2023,Non-SWD,Common Core Algebra,66.69355,62.650604,110
2023,Non-SWD,Common Core Algebra 2,55.384617,28.571428,111
2023,Non-SWD,Common Core English,71.56419,74.633545,112
2023,Non-SWD,Common Core Geometry,55.072083,25.517971,113
2023,Non-SWD,Earth Science,62.11993,46.145443,114
2023,Non-SWD,French,78.611115,82.608696,115
2023,Non-SWD,Global History and Geography,68.789474,69.44444,116
2023,Non-SWD,Italian,77.5641,85.71429,117
2023,Non-SWD,Living Environment,66.26316,59.59596,118
2023,Non-SWD,Physics,56.546753,31.666666,119
2023,Non-SWD,Spanish,84.89262,94.32367,120
2023,Non-SWD,US History and Government,68.78022,70.27027,121
2023,SWD,Chemistry,46.42857,7.6923075,122
2023,SWD,Chinese,72.71429,85.71429,123
2023,SWD,Common Core Algebra,55.42105,27.272728,124
2023,SWD,Common Core Algebra 2,45.583332,7.8125,125
2023,SWD,Common Core English,61.117645,47.22222,126
2023,SWD,Common Core Geometry,46.29319,4.8076925,127
2023,SWD,Earth Science,50.75,18.181818,128
2023,SWD,French,57.5,37.5,129
2023,SWD,Global History and Geography,59.342197,37.63889,130
2023,SWD,Italian,61.81169,51.2987,131
2023,SWD,Living Environment,54.565277,27.272728,132
2023,SWD,Physics,46.225,18.333332,133
2023,SWD,Spanish,75.05655,80.47619,134
2023,SWD,US History and Government,60.427273,38.88889,135
