borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Common Core Algebra,33,51.939392,18.181818,4061
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Common Core Algebra 2,98,42.581635,5.102041,4062
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Common Core Algebra 2,25,37.12,4.0,4063
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Common Core English,79,71.70886,77.21519,4064
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Common Core English,25,62.36,40.0,4065
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Common Core Geometry,46,45.369564,8.695652,4066
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Common Core Geometry,8,32.875,0.0,4067
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Earth Science,65,50.046154,20.0,4068
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Earth Science,24,43.25,8.333333,4069
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Global History and Geography,68,65.97059,55.882355,4070
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Global History and Geography,22,53.363636,18.181818,4071
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Living Environment,88,57.022728,29.545454,4072
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Living Environment,28,48.642857,7.142857,4073
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,Spanish,54,86.81481,94.44444,4074
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,Spanish,18,68.166664,66.666664,4075
Bronx,10X243,West Bronx Academy for the Future,2023,Non-SWD,US History and Government,100,60.09,46.0,4076
Bronx,10X243,West Bronx Academy for the Future,2023,SWD,US History and Government,24,56.958332,33.333332,4077
Bronx,10X244,The New School for Leadership and Journalism,2017,Non-SWD,Living Environment,31,79.29032,93.548386,4078
Bronx,10X244,The New School for Leadership and Journalism,2018,Non-SWD,Common Core Algebra,63,71.95238,79.36508,4079
Bronx,10X244,The New School for Leadership and Journalism,2018,Non-SWD,Living Environment,172,60.65698,38.372093,4080
Bronx,10X244,The New School for Leadership and Journalism,2018,SWD,Living Environment,28,46.25,10.714286,4081
Bronx,10X244,The New School for Leadership and Journalism,2019,Non-SWD,Living Environment,179,61.659218,47.486034,4082
Bronx,10X244,The New School for Leadership and Journalism,2019,SWD,Living Environment,23,49.95652,30.434782,4083
Bronx,10X244,The New School for Leadership and Journalism,2022,Non-SWD,Living Environment,128,58.40625,32.03125,4084
Bronx,10X244,The New School for Leadership and Journalism,2022,SWD,Living Environment,20,54.8,25.0,4085
Bronx,10X244,The New School for Leadership and Journalism,2023,Non-SWD,Common Core Algebra,116,79.17242,88.793106,4086
Bronx,10X244,The New School for Leadership and Journalism,2023,Non-SWD,Living Environment,130,60.115383,43.076923,4087
Bronx,10X244,The New School for Leadership and Journalism,2023,SWD,Living Environment,9,38.22222,0.0,4088
Bronx,10X254,I.S. 254,2017,Non-SWD,Living Environment,17,63.941177,52.941177,4089
Bronx,10X254,I.S. 254,2018,Non-SWD,Living Environment,15,70.86667,66.666664,4090
Bronx,10X254,I.S. 254,2022,Non-SWD,Common Core Algebra,97,56.938145,40.206184,4091
Bronx,10X254,I.S. 254,2022,SWD,Common Core Algebra,37,43.37838,5.4054055,4092
Bronx,10X254,I.S. 254,2022,Non-SWD,Earth Science,95,38.11579,5.263158,4093
Bronx,10X254,I.S. 254,2022,SWD,Earth Science,39,34.25641,2.5641026,4094
Bronx,10X254,I.S. 254,2023,Non-SWD,Common Core Algebra,125,61.912,50.4,4095
Bronx,10X254,I.S. 254,2023,SWD,Common Core Algebra,44,53.68182,20.454546,4096
Bronx,10X254,I.S. 254,2023,Non-SWD,Living Environment,105,50.095238,18.095238,4097
Bronx,10X254,I.S. 254,2023,SWD,Living Environment,44,43.613636,2.2727273,4098
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Common Core Algebra,140,70.89286,82.85714,4099
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Common Core Algebra,58,58.344826,43.103447,4100
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Common Core Algebra 2,13,62.923077,46.153847,4101
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Common Core English,77,79.05195,89.61039,4102
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Common Core English,38,61.473682,57.894737,4103
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Common Core Geometry,32,61.5625,37.5,4104
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Common Core Geometry,13,46.076923,0.0,4105
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Earth Science,64,56.0,26.5625,4106
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Earth Science,14,58.642857,28.571428,4107
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Global History and Geography,105,69.1619,67.61905,4108
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Global History and Geography,63,55.50794,30.15873,4109
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,Living Environment,113,68.27434,67.25664,4110
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,Living Environment,60,59.333332,41.666668,4111
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,Non-SWD,US History and Government,69,76.753624,84.05797,4112
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2017,SWD,US History and Government,31,61.451614,51.612904,4113
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Common Core Algebra,93,68.02151,74.19355,4114
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Common Core Algebra,43,53.7907,18.60465,4115
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Common Core Algebra 2,22,63.227272,40.909092,4116
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Common Core English,80,71.9125,83.75,4117
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Common Core English,35,56.74286,48.57143,4118
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Common Core Geometry,34,57.764706,29.411764,4119
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Common Core Geometry,18,50.61111,5.5555553,4120
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Earth Science,16,67.5,56.25,4121
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Earth Science,9,56.555557,11.111111,4122
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Global History and Geography,161,69.42236,66.459625,4123
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Global History and Geography,60,57.616665,43.333332,4124
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,Living Environment,92,66.804344,57.608696,4125
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,Living Environment,50,52.54,22.0,4126
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,Non-SWD,US History and Government,80,73.9375,77.5,4127
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2018,SWD,US History and Government,32,58.125,37.5,4128
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,Common Core Algebra,109,65.38532,55.04587,4129
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,Common Core Algebra,63,51.031746,15.873015,4130
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,Common Core English,78,78.71795,91.02564,4131
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,Common Core English,27,56.25926,44.444443,4132
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,Common Core Geometry,81,54.839508,32.098766,4133
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,Common Core Geometry,15,44.2,6.6666665,4134
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,Global History and Geography,66,64.48485,53.030304,4135
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,Global History and Geography,34,46.67647,17.647058,4136
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,Living Environment,96,69.197914,66.666664,4137
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,Living Environment,38,53.736843,23.68421,4138
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,Non-SWD,US History and Government,76,73.56579,77.63158,4139
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2019,SWD,US History and Government,30,53.166668,20.0,4140
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Chemistry,38,48.789474,5.263158,4141
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Chemistry,14,44.57143,7.142857,4142
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Common Core Algebra,65,56.076923,23.076923,4143
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Common Core Algebra,21,48.761906,14.285714,4144
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Common Core Algebra 2,39,46.179485,10.256411,4145
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Common Core Algebra 2,10,45.0,0.0,4146
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Common Core English,12,66.0,66.666664,4147
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Common Core English,8,69.75,75.0,4148
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Common Core Geometry,38,38.473682,0.0,4149
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Common Core Geometry,20,42.65,0.0,4150
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Earth Science,42,41.142857,7.142857,4151
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Earth Science,18,42.61111,0.0,4152
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Global History and Geography,64,72.296875,78.125,4153
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Global History and Geography,31,65.129036,58.064518,4154
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,Non-SWD,Living Environment,52,66.44231,61.53846,4155
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2022,SWD,Living Environment,14,59.285713,50.0,4156
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Chemistry,19,50.842106,5.263158,4157
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Chemistry,9,42.333332,0.0,4158
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Common Core Algebra,77,63.66234,58.44156,4159
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Common Core Algebra,40,59.625,47.5,4160
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Common Core Algebra 2,23,47.869564,4.347826,4161
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Common Core Algebra 2,16,41.5,0.0,4162
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Common Core English,67,74.731346,80.597015,4163
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Common Core English,32,62.1875,53.125,4164
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Common Core Geometry,87,48.172413,12.643678,4165
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Common Core Geometry,27,41.407406,7.4074073,4166
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Earth Science,73,49.054794,16.438356,4167
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Earth Science,27,43.148148,11.111111,4168
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Global History and Geography,72,68.5,69.44444,4169
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Global History and Geography,26,62.346153,53.846153,4170
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,Living Environment,52,66.38461,63.46154,4171
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,Living Environment,20,65.65,50.0,4172
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,Non-SWD,US History and Government,56,68.73214,67.85714,4173
Bronx,10X264,Bronx Academy for Software Engineering (BASE),2023,SWD,US History and Government,21,62.714287,61.904762,4174
Bronx,10X268,Kingsbridge International High School,2017,Non-SWD,Common Core Algebra 2,9,70.111115,88.888885,4175
Bronx,10X268,Kingsbridge International High School,2017,Non-SWD,Common Core Geometry,43,65.76744,58.139534,4176
Bronx,10X268,Kingsbridge International High School,2018,Non-SWD,Common Core Algebra,166,60.987953,42.771084,4177
Bronx,10X268,Kingsbridge International High School,2018,SWD,Common Core Algebra,10,50.3,0.0,4178
Bronx,10X268,Kingsbridge International High School,2018,Non-SWD,Common Core Algebra 2,20,72.15,90.0,4179
Bronx,10X268,Kingsbridge International High School,2018,Non-SWD,Common Core Geometry,50,55.54,38.0,4180
Bronx,10X268,Kingsbridge International High School,2018,Non-SWD,Global History and Geography,172,54.011627,25.0,4181
Bronx,10X268,Kingsbridge International High School,2018,SWD,Global History and Geography,9,45.444443,11.111111,4182
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,Common Core Algebra,232,62.405174,50.0,4183
Bronx,10X268,Kingsbridge International High School,2019,SWD,Common Core Algebra,12,55.25,16.666666,4184
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,Common Core English,220,55.25909,48.18182,4185
Bronx,10X268,Kingsbridge International High School,2019,SWD,Common Core English,10,44.6,10.0,4186
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,Global History and Geography,163,59.257668,42.944786,4187
Bronx,10X268,Kingsbridge International High School,2019,SWD,Global History and Geography,13,51.307693,30.76923,4188
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,Living Environment,157,57.853504,39.490444,4189
Bronx,10X268,Kingsbridge International High School,2019,SWD,Living Environment,7,48.285713,14.285714,4190
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,Spanish,223,77.5426,83.40807,4191
Bronx,10X268,Kingsbridge International High School,2019,SWD,Spanish,13,68.23077,61.53846,4192
Bronx,10X268,Kingsbridge International High School,2019,Non-SWD,US History and Government,144,56.444443,33.333332,4193
Bronx,10X268,Kingsbridge International High School,2019,SWD,US History and Government,8,42.375,0.0,4194
Bronx,10X268,Kingsbridge International High School,2022,Non-SWD,Common Core Algebra 2,17,47.82353,11.764706,4195
Bronx,10X268,Kingsbridge International High School,2022,Non-SWD,Common Core English,26,31.846153,19.23077,4196
Bronx,10X268,Kingsbridge International High School,2022,Non-SWD,Common Core Geometry,16,40.125,0.0,4197
Bronx,10X268,Kingsbridge International High School,2022,Non-SWD,Earth Science,11,65.63636,54.545456,4198
Bronx,10X268,Kingsbridge International High School,2023,Non-SWD,Common Core Algebra 2,20,51.35,10.0,4199
Bronx,10X268,Kingsbridge International High School,2023,Non-SWD,Common Core Geometry,9,59.11111,33.333332,4200
Bronx,10X268,Kingsbridge International High School,2023,Non-SWD,Earth Science,9,53.333332,22.222221,4201
Bronx,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2017,Non-SWD,Living Environment,29,78.13793,93.10345,4202
Bronx,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2018,Non-SWD,Living Environment,30,78.333336,100.0,4203
Bronx,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2019,Non-SWD,Living Environment,30,74.066666,83.333336,4204
Bronx,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2023,Non-SWD,Living Environment,29,82.82758,96.55173,4205
Bronx,10X280,P.S. | M.S. 280 Mosholu Parkway,2019,Non-SWD,Common Core Algebra,18,79.94444,100.0,4206
Bronx,10X280,P.S. | M.S. 280 Mosholu Parkway,2022,Non-SWD,Common Core Algebra,18,79.888885,94.44444,4207
Bronx,10X280,P.S. | M.S. 280 Mosholu Parkway,2023,Non-SWD,Common Core Algebra,27,80.296295,100.0,4208
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,Common Core Algebra,110,65.72727,65.454544,4209
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,Common Core Algebra,19,56.526318,47.36842,4210
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,Common Core English,72,70.166664,68.05556,4211
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,Common Core English,24,62.708332,54.166668,4212
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,Earth Science,50,54.22,30.0,4213
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,Earth Science,8,37.875,12.5,4214
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,Global History and Geography,101,57.683167,32.673267,4215
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,Global History and Geography,21,43.333332,9.523809,4216
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,Living Environment,76,65.72369,56.57895,4217
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,Living Environment,10,57.4,30.0,4218
Bronx,10X284,Bronx School of Law and Finance,2017,Non-SWD,US History and Government,71,71.746475,70.42254,4219
Bronx,10X284,Bronx School of Law and Finance,2017,SWD,US History and Government,13,58.923077,38.46154,4220
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Common Core Algebra,160,63.34375,57.5,4221
Bronx,10X284,Bronx School of Law and Finance,2018,SWD,Common Core Algebra,42,56.238094,14.285714,4222
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Common Core English,131,66.47328,70.229004,4223
Bronx,10X284,Bronx School of Law and Finance,2018,SWD,Common Core English,28,58.785713,46.42857,4224
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Common Core Geometry,17,55.82353,29.411764,4225
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Global History and Geography,85,70.48235,64.70588,4226
Bronx,10X284,Bronx School of Law and Finance,2018,SWD,Global History and Geography,21,58.809525,33.333332,4227
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Living Environment,124,66.701614,62.096775,4228
Bronx,10X284,Bronx School of Law and Finance,2018,SWD,Living Environment,29,56.41379,27.586206,4229
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,Spanish,8,89.375,100.0,4230
Bronx,10X284,Bronx School of Law and Finance,2018,Non-SWD,US History and Government,66,63.363636,53.030304,4231
Bronx,10X284,Bronx School of Law and Finance,2018,SWD,US History and Government,14,53.285713,7.142857,4232
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Common Core Algebra,126,59.88889,42.06349,4233
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,Common Core Algebra,33,57.696968,39.39394,4234
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Common Core English,120,61.858334,59.166668,4235
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,Common Core English,29,61.275864,44.827587,4236
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Common Core Geometry,38,58.342106,36.842106,4237
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,Common Core Geometry,7,45.42857,14.285714,4238
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Global History and Geography,75,67.253334,62.666668,4239
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,Global History and Geography,20,55.9,40.0,4240
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Living Environment,111,60.414413,40.54054,4241
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,Living Environment,33,51.0,15.151515,4242
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,Spanish,6,93.166664,100.0,4243
Bronx,10X284,Bronx School of Law and Finance,2019,Non-SWD,US History and Government,84,69.60714,65.47619,4244
Bronx,10X284,Bronx School of Law and Finance,2019,SWD,US History and Government,18,60.77778,44.444443,4245
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Chemistry,24,42.791668,4.1666665,4246
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Chemistry,9,36.22222,0.0,4247
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Common Core Algebra,54,59.61111,40.74074,4248
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Common Core Algebra,17,52.17647,17.647058,4249
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Common Core English,45,70.71111,73.333336,4250
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Common Core English,14,68.5,57.142857,4251
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Common Core Geometry,31,47.612904,16.129032,4252
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Common Core Geometry,7,36.42857,0.0,4253
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Global History and Geography,46,68.521736,67.391304,4254
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Global History and Geography,12,60.333332,50.0,4255
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Living Environment,51,62.313725,45.098038,4256
Bronx,10X284,Bronx School of Law and Finance,2022,SWD,Living Environment,19,54.526318,26.31579,4257
Bronx,10X284,Bronx School of Law and Finance,2022,Non-SWD,Spanish,7,85.57143,100.0,4258
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Chemistry,40,47.375,5.0,4259
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Chemistry,6,40.5,0.0,4260
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Common Core Algebra,61,59.081966,45.901638,4261
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Common Core Algebra,19,53.736843,26.31579,4262
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Common Core Algebra 2,48,46.645832,8.333333,4263
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Common Core Algebra 2,10,36.9,0.0,4264
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Common Core English,82,65.914635,67.07317,4265
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Common Core English,16,57.9375,50.0,4266
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Common Core Geometry,53,48.4717,11.320755,4267
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Common Core Geometry,8,47.25,0.0,4268
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Global History and Geography,63,64.98412,57.142857,4269
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Global History and Geography,16,53.8125,25.0,4270
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Living Environment,71,59.028168,39.43662,4271
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,Living Environment,19,49.68421,26.31579,4272
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,Spanish,14,87.07143,100.0,4273
Bronx,10X284,Bronx School of Law and Finance,2023,Non-SWD,US History and Government,43,66.441864,62.7907,4274
Bronx,10X284,Bronx School of Law and Finance,2023,SWD,US History and Government,8,67.875,50.0,4275
Bronx,10X308,Bronx Dance Academy School,2023,Non-SWD,Living Environment,28,68.17857,67.85714,4276
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,Non-SWD,Common Core English,42,67.59524,78.57143,4277
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,SWD,Common Core English,12,62.583332,50.0,4278
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,Non-SWD,Global History and Geography,54,58.592594,38.88889,4279
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,SWD,Global History and Geography,7,62.714287,42.857143,4280
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,Non-SWD,Living Environment,46,67.13043,60.869564,4281
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,SWD,Living Environment,8,57.125,37.5,4282
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,Non-SWD,US History and Government,50,68.04,70.0,4283
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2017,SWD,US History and Government,7,63.714287,57.142857,4284
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2018,Non-SWD,Global History and Geography,24,60.458332,41.666668,4285
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2018,SWD,Global History and Geography,6,56.0,16.666666,4286
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2018,Non-SWD,US History and Government,38,64.18421,55.263157,4287
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2018,SWD,US History and Government,6,58.833332,33.333332,4288
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,Non-SWD,Common Core English,45,69.577774,73.333336,4289
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,SWD,Common Core English,14,60.07143,35.714287,4290
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,Non-SWD,Living Environment,44,70.454544,75.0,4291
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,SWD,Living Environment,11,64.545456,54.545456,4292
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,Non-SWD,US History and Government,41,62.512196,53.658535,4293
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2019,SWD,US History and Government,7,48.857143,14.285714,4294
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2023,Non-SWD,Common Core English,24,73.25,83.333336,4295
Bronx,10X319,Providing Urban Learners Success In Education (PULSE) High School,2023,SWD,Common Core English,6,66.666664,66.666664,4296
Bronx,10X331,The Bronx School of Young Leaders,2018,Non-SWD,Living Environment,23,66.434784,56.52174,4297
Bronx,10X342,International School for Liberal Arts,2017,Non-SWD,Common Core Algebra,154,68.25325,72.72727,4298
Bronx,10X342,International School for Liberal Arts,2017,SWD,Common Core Algebra,7,53.285713,14.285714,4299
Bronx,10X342,International School for Liberal Arts,2017,Non-SWD,Common Core Geometry,24,64.333336,45.833332,4300
Bronx,10X342,International School for Liberal Arts,2017,Non-SWD,Living Environment,153,65.92157,61.43791,4301
Bronx,10X342,International School for Liberal Arts,2017,SWD,Living Environment,6,53.0,16.666666,4302
Bronx,10X342,International School for Liberal Arts,2017,Non-SWD,Spanish,25,91.68,100.0,4303
Bronx,10X342,International School for Liberal Arts,2018,Non-SWD,Common Core Algebra,155,64.03871,60.64516,4304
Bronx,10X342,International School for Liberal Arts,2018,SWD,Common Core Algebra,21,56.761906,19.047619,4305
Bronx,10X342,International School for Liberal Arts,2018,Non-SWD,Common Core Algebra 2,40,65.3,55.0,4306
Bronx,10X342,International School for Liberal Arts,2018,Non-SWD,Global History and Geography,112,71.125,72.32143,4307
Bronx,10X342,International School for Liberal Arts,2018,SWD,Global History and Geography,10,55.2,20.0,4308
Bronx,10X342,International School for Liberal Arts,2018,Non-SWD,Living Environment,154,62.94805,52.597404,4309
Bronx,10X342,International School for Liberal Arts,2018,SWD,Living Environment,15,55.466667,33.333332,4310
Bronx,10X342,International School for Liberal Arts,2018,Non-SWD,Spanish,43,87.53488,90.69768,4311
Bronx,10X342,International School for Liberal Arts,2019,Non-SWD,Common Core Algebra,139,68.33813,78.41727,4312
Bronx,10X342,International School for Liberal Arts,2019,SWD,Common Core Algebra,16,61.625,56.25,4313
Bronx,10X342,International School for Liberal Arts,2019,Non-SWD,Common Core English,128,63.804688,60.15625,4314
