borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Common Core Algebra,30,65.7,60.0,48
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,Common Core English,88,77.431816,95.454544,49
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Common Core English,32,64.34375,65.625,50
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,Common Core Geometry,52,66.63461,59.615383,51
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Common Core Geometry,8,63.875,50.0,52
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,Earth Science,52,60.692307,36.53846,53
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Earth Science,16,46.9375,25.0,54
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,Global History and Geography,85,75.68235,88.23529,55
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Global History and Geography,33,66.69697,60.60606,56
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,Living Environment,90,74.244446,87.77778,57
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,Living Environment,22,66.59091,63.636364,58
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,Non-SWD,US History and Government,87,80.08046,95.4023,59
Bronx,07X221,South Bronx Preparatory: A College Board School,2019,SWD,US History and Government,28,66.85714,64.28571,60
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Chemistry,8,69.875,75.0,61
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Common Core Algebra,74,68.27027,68.91892,62
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,SWD,Common Core Algebra,28,58.357143,46.42857,63
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Common Core Algebra 2,14,67.35714,71.42857,64
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Common Core English,18,73.111115,88.888885,65
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,SWD,Common Core English,12,56.083332,50.0,66
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Earth Science,40,57.825,35.0,67
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,SWD,Earth Science,10,47.9,10.0,68
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Global History and Geography,58,76.913795,93.10345,69
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,SWD,Global History and Geography,19,67.63158,57.894737,70
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,Non-SWD,Living Environment,76,68.42105,68.42105,71
Bronx,07X221,South Bronx Preparatory: A College Board School,2022,SWD,Living Environment,22,62.68182,40.909092,72
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Chemistry,12,75.333336,91.666664,73
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Common Core Algebra,82,69.14634,82.92683,74
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Common Core Algebra,25,60.68,52.0,75
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Common Core Algebra 2,27,59.925926,40.74074,76
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Common Core English,69,77.49275,94.202896,77
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Common Core English,28,69.5,64.28571,78
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Common Core Geometry,30,68.5,73.333336,79
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Common Core Geometry,9,68.22222,77.77778,80
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Earth Science,43,67.976746,51.162792,81
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Earth Science,13,68.30769,53.846153,82
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Global History and Geography,70,73.34286,92.85714,83
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Global History and Geography,25,70.96,88.0,84
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Living Environment,68,70.882355,75.0,85
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Living Environment,20,64.75,60.0,86
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,Spanish,27,89.81481,100.0,87
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,Spanish,6,86.666664,83.333336,88
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Non-SWD,US History and Government,61,76.16393,93.44262,89
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,SWD,US History and Government,20,71.85,80.0,90
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2017,Non-SWD,Common Core English,86,77.558136,87.209305,91
