category,year,regents_exam,median_mean_score,median_percent_65_or_above,id
Manhattan,2018,Common Core Geometry,60.894737,45.736435,103
Manhattan,2018,Earth Science,64.03269,52.136364,104
Manhattan,2018,French,84.92064,98.16694,105
Manhattan,2018,Global History and Geography,68.44827,62.92135,106
Manhattan,2018,Italian,71.46154,69.23077,107
Manhattan,2018,Living Environment,69.84849,71.25,108
Manhattan,2018,Physics,64.77778,53.187405,109
Manhattan,2018,Spanish,87.42857,97.05882,110
Manhattan,2018,US History and Government,72.11243,74.10714,111
Queens,2018,Chemistry,63.393444,49.122807,112
Queens,2018,Chinese,88.47845,99.11504,113
Queens,2018,Common Core Algebra,71.11485,78.16507,114
Queens,2018,Common Core Algebra 2,67.10539,65.33467,115
Queens,2018,Common Core English,71.57084,77.31296,116
Queens,2018,Common Core Geometry,61.905975,48.12442,117
Queens,2018,Earth Science,68.833336,62.34458,118
Queens,2018,French,79.79524,91.78982,119
Queens,2018,Global History and Geography,71.14964,69.44761,120
Queens,2018,Italian,76.71154,90.47619,121
Queens,2018,Living Environment,74.17904,78.947365,122
Queens,2018,Physics,68.1,67.741936,123
Queens,2018,Spanish,81.42857,89.26553,124
Queens,2018,US History and Government,74.57133,78.67951,125
Staten Island,2018,Chemistry,68.34545,69.09091,126
Staten Island,2018,Chinese,67.111115,55.555557,127
Staten Island,2018,Common Core Algebra,74.56322,81.60919,128
Staten Island,2018,Common Core Algebra 2,70.33673,75.30864,129
Staten Island,2018,Common Core English,76.20546,84.65398,130
Staten Island,2018,Common Core Geometry,64.64754,56.05381,131
Staten Island,2018,Earth Science,63.19043,50.241165,132
Staten Island,2018,French,81.752426,90.69768,133
Staten Island,2018,Global History and Geography,69.5226,66.50991,134
Staten Island,2018,Italian,72.62165,73.17682,135
Staten Island,2018,Living Environment,72.451614,77.41936,136
Staten Island,2018,Physics,65.45989,61.497326,137
Staten Island,2018,Spanish,78.65729,86.90476,138
Staten Island,2018,US History and Government,73.666664,79.518074,139
Bronx,2019,Chemistry,56.997726,25.998245,140
Bronx,2019,Chinese,93.28261,98.91304,141
Bronx,2019,Common Core Algebra,66.155685,63.636364,142
Bronx,2019,Common Core Algebra 2,63.42591,50.0,143
Bronx,2019,Common Core English,69.16658,73.25073,144
Bronx,2019,Common Core Geometry,59.62507,40.909092,145
Bronx,2019,Earth Science,59.076923,37.354652,146
Bronx,2019,French,81.166664,99.1453,147
Bronx,2019,Global History and Geography,64.496735,55.32995,148
Bronx,2019,Italian,88.73913,100.0,149
Bronx,2019,Living Environment,64.99292,55.94163,150
Bronx,2019,Physics,59.82692,31.594398,151
Bronx,2019,Spanish,83.63265,93.589745,152
Bronx,2019,US History and Government,65.72131,59.74026,153
Brooklyn,2019,Chemistry,58.763157,30.188679,154
Brooklyn,2019,Chinese,88.50361,99.339935,155
Brooklyn,2019,Common Core Algebra,67.7446,67.696495,156
Brooklyn,2019,Common Core Algebra 2,61.663044,51.80124,157
Brooklyn,2019,Common Core English,69.23684,73.63636,158
Brooklyn,2019,Common Core Geometry,58.550537,37.07061,159
Brooklyn,2019,Earth Science,61.973545,45.454544,160
Brooklyn,2019,French,80.451126,91.21392,161
Brooklyn,2019,Global History and Geography,64.83839,59.090908,162
Brooklyn,2019,Italian,80.00444,94.15385,163
Brooklyn,2019,Living Environment,67.03472,62.605934,164
Brooklyn,2019,Physics,66.94005,53.789993,165
