borough,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Common Core Algebra,107,67.16822,75.700935,53
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Common Core Algebra 2,27,59.925926,40.74074,54
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Common Core English,97,75.18557,85.56701,55
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Common Core Geometry,39,68.4359,74.35897,56
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Earth Science,56,68.05357,51.785713,57
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Global History and Geography,95,72.71579,91.57895,58
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Living Environment,88,69.48864,71.59091,59
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,Spanish,33,89.242424,96.969696,60
Bronx,07X221,South Bronx Preparatory: A College Board School,2023,US History and Government,81,75.09876,90.12346,61
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2017,Common Core Algebra,49,82.244896,100.0,62
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2017,Common Core English,121,69.495865,70.24793,63
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Common Core Algebra,81,76.12346,88.888885,64
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Common Core English,143,66.58042,66.43356,65
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Common Core Geometry,46,69.71739,76.08696,66
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2018,Living Environment,86,68.03488,65.11628,67
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Common Core Algebra,62,75.48387,88.70968,68
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Common Core English,144,75.75694,84.72222,69
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Common Core Geometry,48,72.229164,81.25,70
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2019,Living Environment,83,60.361446,46.987953,71
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2022,Common Core Algebra,37,77.24324,97.297295,72
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2022,Common Core English,89,70.66292,70.786514,73
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,Common Core Algebra,39,76.92308,94.871796,74
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,Common Core English,155,73.8,80.645164,75
Bronx,07X223,M.S. | H.S. 223 The Laboratory School of Finance and Technology,2023,Living Environment,72,59.958332,36.11111,76
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Common Core Algebra,239,59.690376,41.841003,77
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Common Core Algebra 2,8,47.25,12.5,78
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Common Core English,141,64.60993,63.82979,79
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Common Core Geometry,14,46.714287,0.0,80
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Global History and Geography,56,58.357143,32.142857,81
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,Living Environment,156,62.910255,48.71795,82
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2017,US History and Government,209,65.224884,55.98086,83
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Common Core Algebra,234,57.62393,30.34188,84
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Common Core English,170,55.123528,42.941177,85
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Common Core Geometry,9,59.666668,22.222221,86
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Global History and Geography,109,69.495415,68.80734,87
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,Living Environment,158,62.86709,49.36709,88
Bronx,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",2018,US History and Government,138,63.014492,51.449276,89
