year,category,regents_exam,median_mean_score,median_percent_65_or_above,id
2019,English Proficient,Living Environment,68.948715,68.05556,105
2019,English Proficient,Physics,68.28606,61.614777,106
2019,English Proficient,Spanish,81.66261,91.666664,107
2019,English Proficient,US History and Government,69.33926,67.5242,108
2019,Former ELL,Chemistry,63.88889,49.090908,109
2019,Former ELL,Chinese,91.64773,99.69512,110
2019,Former ELL,Common Core Algebra,70.1579,76.190475,111
2019,Former ELL,Common Core Algebra 2,67.94444,69.61539,112
2019,Former ELL,Common Core English,76.82143,91.111115,113
2019,Former ELL,Common Core Geometry,63.454193,53.944187,114
2019,Former ELL,Earth Science,65.710526,56.25,115
2019,Former ELL,French,84.08333,100.0,116
2019,Former ELL,Global History and Geography,70.28571,73.333336,117
2019,Former ELL,Italian,83.02778,100.0,118
2019,Former ELL,Living Environment,71.05556,75.0,119
2019,Former ELL,Physics,68.77778,64.70588,120
2019,Former ELL,Spanish,87.916664,100.0,121
2019,Former ELL,US History and Government,71.702705,72.72727,122
2022,ELL,Chemistry,41.133926,0.0,123
2022,ELL,Chinese,89.25665,100.0,124
2022,ELL,Common Core Algebra,53.644333,18.573668,125
2022,ELL,Common Core Algebra 2,45.666668,7.142857,126
2022,ELL,Common Core English,48.18182,25.0,127
2022,ELL,Common Core Geometry,41.545456,3.125,128
2022,ELL,Earth Science,42.208332,6.6666665,129
2022,ELL,Global History and Geography,60.35294,42.105263,130
2022,ELL,Living Environment,53.090908,21.052631,131
2022,ELL,Physics,42.084846,17.424242,132
2022,ELL,Spanish,79.33929,86.95035,133
2022,English Proficient,Chemistry,52.38333,14.285714,134
2022,English Proficient,Chinese,78.52381,81.48148,135
2022,English Proficient,Common Core Algebra,64.79452,55.357143,136
2022,English Proficient,Common Core Algebra 2,52.275677,23.076923,137
2022,English Proficient,Common Core English,70.356064,75.0,138
2022,English Proficient,Common Core Geometry,47.515873,14.140982,139
2022,English Proficient,Earth Science,55.5625,30.0,140
2022,English Proficient,French,71.6125,77.77778,141
2022,English Proficient,Global History and Geography,68.82825,69.44444,142
2022,English Proficient,Italian,75.21429,85.71429,143
2022,English Proficient,Living Environment,67.65278,64.28571,144
2022,English Proficient,Physics,51.525425,26.956522,145
2022,English Proficient,Spanish,78.5,83.333336,146
2022,Former ELL,Chemistry,53.408043,19.259258,147
2022,Former ELL,Chinese,90.44192,97.326385,148
2022,Former ELL,Common Core Algebra,67.96,66.666664,149
2022,Former ELL,Common Core Algebra 2,56.5,35.48387,150
2022,Former ELL,Common Core English,74.6727,83.333336,151
2022,Former ELL,Common Core Geometry,51.974537,22.9246,152
2022,Former ELL,Earth Science,58.707146,38.194443,153
2022,Former ELL,French,79.06333,90.27777,154
2022,Former ELL,Global History and Geography,71.875,80.70175,155
2022,Former ELL,Italian,78.0,92.22222,156
2022,Former ELL,Living Environment,70.90179,73.0464,157
2022,Former ELL,Physics,51.625,33.333332,158
2022,Former ELL,Spanish,86.23077,97.36842,159
2023,ELL,Chemistry,44.166668,0.0,160
2023,ELL,Chinese,91.9427,100.0,161
2023,ELL,Common Core Algebra,55.96112,28.571428,162
2023,ELL,Common Core Algebra 2,45.22222,10.0,163
2023,ELL,Common Core English,50.285713,25.925926,164
2023,ELL,Common Core Geometry,46.25,6.6666665,165
2023,ELL,Earth Science,48.0,13.636364,166
2023,ELL,French,84.57143,85.71429,167
2023,ELL,Global History and Geography,57.190475,30.76923,168
2023,ELL,Living Environment,50.903816,16.666666,169
2023,ELL,Physics,60.75,25.0,170
2023,ELL,Spanish,81.28571,91.111115,171
2023,ELL,US History and Government,58.566666,33.333332,172
2023,English Proficient,Chemistry,56.52277,25.0,173
2023,English Proficient,Chinese,79.1,83.333336,174
2023,English Proficient,Common Core Algebra,65.214066,58.333332,175
2023,English Proficient,Common Core Algebra 2,55.060608,28.054054,176
2023,English Proficient,Common Core English,71.63248,74.07647,177
2023,English Proficient,Common Core Geometry,54.024693,24.902723,178
2023,English Proficient,Earth Science,61.35294,44.221104,179
2023,English Proficient,French,81.94444,93.1783,180
2023,English Proficient,Global History and Geography,67.92647,64.400925,181
2023,English Proficient,Italian,76.1579,80.0,182
2023,English Proficient,Living Environment,65.33214,56.71171,183
2023,English Proficient,Physics,56.52941,31.25,184
2023,English Proficient,Spanish,80.87649,89.17006,185
2023,English Proficient,US History and Government,67.419586,66.666664,186
2023,Former ELL,Chemistry,58.97,33.333332,187
2023,Former ELL,Chinese,89.73529,96.969696,188
2023,Former ELL,Common Core Algebra,69.20548,70.0,189
2023,Former ELL,Common Core Algebra 2,57.249226,36.021507,190
2023,Former ELL,Common Core English,74.86667,83.333336,191
2023,Former ELL,Common Core Geometry,55.96875,28.869047,192
2023,Former ELL,Earth Science,65.567375,53.846153,193
2023,Former ELL,French,83.1875,100.0,194
2023,Former ELL,Global History and Geography,71.75,77.622375,195
2023,Former ELL,Italian,79.07692,87.5,196
2023,Former ELL,Living Environment,69.33364,66.666664,197
2023,Former ELL,Physics,62.944443,47.540985,198
2023,Former ELL,Spanish,88.30357,100.0,199
2023,Former ELL,US History and Government,70.74643,77.14286,200
